,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
Birmingham-Hoover AL Metro Area,72.60018152255451,73.4073592779652,73.45446312365058,73.4810902934603,73.0314966648086,72.34127719330259,72.4977896858486,72.49846976844042,72.68977003615491,73.5569084375052,74.7602551565617,75.66186476689559,77.1584581833127,79.11946512287109,80.2966025376232,81.92972108595491,83.1154903140668,84.66510215099541,88.4242922306294,89.87033031548359,91.0631040995378,93.5614096808656,96.07979494189141,96.38997224175509,98.2861003361499,99.9782136721686,99.93663621224658,99.8715453768997,98.5703307137328,96.40010359162208,92.8460573784054,90.63070323325859,84.65381342137451,81.8850306323865,78.2328096862677,78.3149027153857,77.6563238926906,76.8572201708495,75.7528648925224,73.5489485864176,73.7239345121939,74.1102326233593,74.2471154519963,73.6633094703715,74.2848607542694,73.4461274738407,73.58775328965629,73.139571747784,73.930131427576,76.88056316721371,78.77878310890691,81.1527951612272,81.59447157253899,84.6610502741861,84.31088220366341,83.4929548216641,86.26494264247481,86.97634999941481,89.4729317709469,91.0239535514514,90.16872755086321,91.7681498153223,93.0274994545282,94.2722627059961,94.8637096089225,94.35006897837559
Boise City ID Metro Area,71.93641080433241,72.2066871788107,72.34421167180409,71.72989975198391,71.81009365124001,71.7481003756505,71.7859854325887,71.6055968511118,71.7348516747747,72.6880100804604,74.2900110348484,76.1800993100425,77.1157417398379,79.0063536735944,80.13581733096579,81.79352711696991,82.5741767336676,84.34418146765579,87.93846658716721,90.36832989598129,93.7026251165353,96.4072842557251,97.43338585790458,99.2085041781951,100.897057024012,101.734170365072,101.871051082014,101.788978503769,100.703895947213,98.49714822470709,95.178919793069,91.2621587007085,84.47334817502771,81.6382203898725,79.64602536818829,75.4398842284148,72.2339661451479,70.62179137763559,70.308922395664,68.0404916992636,68.9676428862615,66.56157850949229,68.0517972147938,68.9866524850047,67.7267802828719,66.88939951226679,68.8239924668885,70.6608728659467,71.73852517799291,73.7848786048205,75.5392984455252,76.9573042975908,79.1381379938353,81.41164610979109,81.8684075291298,87.7496970496274,88.68958609870701,91.3911990993002,92.25751607441259,93.29559435824221,92.5954884936049,93.7501477094463,93.81364540608169,94.9782939115275,96.32617981425341,95.7714764744845
Boston-Cambridge-Newton MA-NH Metro Area,76.39385129680801,75.5277510771989,76.01022026328859,75.452801330623,74.66281223680491,74.1703629698877,74.1640567301877,74.66891733892909,75.1864410957361,75.0928251853917,75.4760290442235,78.1098036866848,78.89305462190909,79.4194125379446,79.8350826432232,82.5942427837973,85.5614500032858,89.2146524413355,90.1975191605475,91.32358376513201,92.6671636974248,95.5585846089365,97.5162071952377,98.084740543182,100.539427304131,103.249868375215,103.8205991616,102.77083333757099,101.273545681353,98.7056499889843,95.8608517373263,90.67957801412679,83.8893682887028,78.0876213693537,75.4543440251345,72.9256176339028,71.6417251098037,70.81281714931029,72.0225763548988,74.1394664083252,75.7958477781598,78.18291873672891,79.6094474785143,79.8771278778591,80.1260024573379,80.1463790017361,79.9447727994365,81.5890108357907,83.8353064915226,86.3206388326183,88.96720879019159,90.26961949521191,90.6453477939922,89.8368331345014,91.59036510427391,96.7289806749218,99.6916749625787,103.22819949412501,104.38765694598801,105.236485190166,105.70117298349199,105.303316613335,108.14474820465,115.213300458647,121.753891866551,124.018654383194
Bridgeport-Stamford-Norwalk CT Metro Area,71.78741403513791,71.5613062399567,73.5128550938676,74.4076138424658,73.8711618080719,72.89455716310191,72.99355250283759,72.3903680640378,73.4203765798797,73.1361348503745,74.2724483378509,74.7152603923952,75.9959108932523,77.21260699206809,81.12591280858729,83.14707888781359,83.99558335509629,85.3351539798424,88.36537405964451,90.10637378362551,92.7920360865236,94.836077821483,97.57183820102871,98.39835869788558,101.450086645203,103.589147688062,103.731855199366,103.25174422664499,100.651551855098,97.9500164696745,93.704726636954,89.385166782579,82.9891999200778,79.05400660726579,76.09493504138099,74.62196661970809,74.2152721690283,72.24265941768259,72.5653570591646,74.7081085045462,76.1197001567078,75.7231072691212,75.15572214311541,74.2919183199332,74.5320135519847,75.54949204548909,74.69415922251329,74.91517800415741,75.6364463511327,75.9580844779489,75.6752005689087,76.8855484290436,77.9854258536903,79.4566027106976,80.8684867785589,84.3620977857801,86.01565716898479,86.5025411379946,90.93446255674989,92.62741521631528,94.26514159619921,95.90949613204658,96.3771924645653,96.6296671576219,98.1327412446171,97.26918301337669
Buffalo-Cheektowaga-Niagara Falls NY Metro Area,73.3006524216407,71.83497874438291,71.81628246694291,71.41881209230979,71.765509024911,71.7498618038583,72.31147282536891,71.8391272119518,71.5892960640763,71.7679591072305,74.0277510182941,75.12291989316441,76.60605883180351,78.57762366177171,80.2347669915801,82.6592691570593,82.9784456196383,85.9154225809846,89.2548851208691,89.2557125121084,90.95655358203051,93.66475902118009,94.331410214296,95.0333474755781,95.3803784045596,96.57983252027609,98.2785636274611,98.70675777909679,97.99922275364321,96.51320841679158,94.38514892616101,92.165174354708,85.25042444911429,82.1402799161074,80.6629828096133,79.71579774228479,79.5276460484322,80.4928437135718,81.43318464723009,81.8076826317261,82.3554849648265,84.4391703010329,85.9311383098147,86.4728416530564,86.34536711456751,86.9742122488404,86.70576257387042,86.4162003024256,85.8565991678184,87.4298263602795,89.8258939254985,90.6291035931758,91.54367604977502,92.49350228036721,93.0387005363752,91.8128244114958,94.24428124843679,95.41801412834671,96.1624666181789,97.6846420172228,98.72032553945552,100.88944106094101,104.036260652486,105.224208427612,105.094191650633,106.784468190787
Cape Coral-Fort Myers FL Metro Area,67.5137758738681,67.643752605084,68.313332878145,67.9656390328983,69.3981128754745,69.2957215819873,70.8501672002928,70.91343502331709,72.3657970837425,74.5449526402871,76.71314700864009,76.7452999352313,77.3966477668087,77.7430693596081,79.54948784363059,81.2911822860937,82.6100732519253,85.9447205022196,91.20207698687571,95.8887132602688,99.01303003372941,100.794348605298,100.41104791554199,102.302972780694,102.939156016901,103.877372691798,102.89733305212201,100.93106882440901,99.2105569593771,95.3938037108938,91.3279892451525,85.48780814293,77.7305686187031,72.8373635675373,68.8714168652121,66.9539122820755,65.8654338788097,65.11687563124539,63.6035699466593,63.9577926865452,63.6484403684241,65.27831587117011,64.9413198586105,65.4460069275897,65.50911167192571,64.64844269606999,66.9501680194645,68.7577673185735,68.3333371283769,69.4858866941741,69.62280629601361,71.7807349376024,74.2197278584467,76.2159207422563,77.7144129977265,79.0237547524031,80.703531727604,81.35474428037591,83.85958506820141,83.99636561863741,86.051051260875,86.3668899457307,88.2082682173019,89.0318768816699,91.27364672635021,91.8256007976826
Charleston-North Charleston SC Metro Area,70.9883228537642,70.81390614528729,71.1158368600405,71.02957131842541,71.2922303173473,72.55887962181959,73.31667522896791,73.5252654040798,74.2056246968121,74.7984637267363,75.70518014643379,76.7015336370992,77.0901842746465,79.4262262080065,78.5706145818905,82.1539515638119,83.47663706285691,85.92659645537809,90.224806418206,92.4258600451108,95.47432083782341,97.40460111982759,99.4679645253356,101.05963425473601,102.153686720905,102.36611609889201,102.830567433464,102.261929093172,100.002428856308,97.5783247392576,94.7092591890899,90.87644216406771,85.01194859483391,81.43912541456659,79.7838077079642,79.01485406705491,78.7834719568019,78.6941065429301,78.9212103563877,79.0145500456977,79.1028946397154,78.4790027365852,77.98930549752491,78.9687220550102,79.5445127367232,78.17199670120621,79.318032939135,81.0790124410448,82.6764490127445,80.3692711526015,80.34684024973109,81.82281918523809,85.36503568247281,86.35643997607019,91.0140535721481,90.879556171709,93.417032524426,93.1257520048827,93.8617220326185,94.88687049384001,94.0878186018865,96.2583500359579,97.5095199373415,99.0143763025655,99.418198709369,99.7762303476421
Charlotte-Concord-Gastonia NC-SC Metro Area,67.0658539764554,67.4163404431627,67.5989686993024,67.8181535689845,68.1614994666092,68.24369271032461,68.2430932688698,68.1205661344543,68.1895234754122,68.518744948423,69.38684374175129,70.3708632301084,71.54558760544941,72.920935071635,74.186379531051,75.2792682016696,75.73900822337029,77.8624064614595,80.9795876469457,84.13311897087699,86.9217355696808,91.43294496334428,94.8602565721592,96.40181554285509,96.4019457596677,96.81572580064909,97.7815828465892,97.7974119120575,96.7137019869598,94.3814128001956,91.145201618689,88.06946619240671,82.9214155070327,78.8844335791618,75.87910762956899,73.5883868325132,72.20076408828321,70.96233515290758,67.9396260371506,67.0752586722284,66.61282253415361,66.1746803639439,66.85873003073729,66.43513092363979,66.9274346324403,66.4573543655613,67.1752023206871,67.44373795552589,68.1854247588218,69.9320592198101,72.47640857555609,73.04785304120729,74.3122667665435,76.44071298955559,76.50542726380309,79.1964721888397,80.4583120060133,82.20882466803559,83.5758556050977,85.8967565909119,87.26648530345172,89.7302367512095,93.6129859148556,97.06679812790709,97.5120592369873,97.97563211170721
Chattanooga TN-GA Metro Area,72.1437026655096,71.56345247104859,71.6120118322442,72.74707716470101,72.5073164318078,72.4229691720538,72.524510608806,72.42728065774371,72.1573632389823,72.7202950425315,73.0961746478098,73.8814104109865,74.9858815686092,77.0837113576605,78.9763214678911,81.3888268686041,83.29924798315359,85.2585404634157,88.48294714740308,89.3501872518235,90.7417037896587,93.40293452916019,95.18175644394671,96.530607305051,97.9030095990981,98.6531731307958,98.9235275851841,98.80591271459059,98.0574728354627,96.4706532341578,92.7479589145989,89.2878493514538,84.46169254911341,81.6622775015158,78.5665141890281,79.0336699958645,77.5799951180723,77.9851383519473,79.0050261456129,78.1686090752549,78.6445299816647,79.43169960774709,79.2809768487858,79.86423712536529,80.7416938331105,80.36783590564909,80.63404603105691,81.4434181627605,82.39034779541609,82.02509649195301,81.88439177261209,82.36148707666229,84.8950596882182,86.8582825518408,86.9224459000893,86.65138658788099,87.2736312228504,87.72442787081481,89.78368589659651,90.36171143125141,93.71294083327841,93.6177095862479,96.21702500276591,96.60011118182949,98.9314998627097,101.5837440789
Chicago-Joliet-Naperville IL-IN-WI Metro Area,66.30157491509961,66.7363977036628,68.0672104566677,68.4535888853911,68.19144449606921,69.0139992555208,70.1637964793744,70.5811479724765,71.3931940540467,71.8406719460791,72.0894792977463,72.796928342204,74.4405940138557,75.7571428505603,77.6902495308415,79.9969421505033,80.1885950263307,81.6173913756777,84.77446143507049,87.1049493089599,89.7745298384054,92.59543317549169,94.4725596005509,94.3990597551143,97.14606132982469,100.10474654423099,100.39370229013599,99.656994927442,97.8655264472933,95.6926382951744,92.0337480689283,87.27767678535271,80.1887003202643,75.4937680626678,72.66143234874691,71.01193900642029,70.4247921036785,68.4621013952164,68.33124223913299,67.216850254474,66.8881556245777,65.9921558969382,66.1569601718153,64.6309443184537,64.7929948912817,65.6205833946338,65.9490874485615,65.519837011877,66.20702908087421,66.5910008263466,67.7287734069037,70.6343632400376,73.09486186184391,75.2138110706831,75.54294255984121,77.83087191979959,79.0158730388535,80.4267946347278,81.2493972043013,81.1780324521877,82.0689385814856,82.44973738147199,83.691987279356,84.7156175879191,87.7324785609586,91.32726993185369
